n_vehicles,to_stop_I,route_type,from_stop_I,duration_avg,route_I_counts,BUS,FERRY,id,stop_I,name,lon_bus,lat_bus,lon_ferry,lat_ferry,stop_lon,stop_lat
12,2464,3,2461,50.0,"{'545': 1, '543': 1, '544': 2, '542': 8}",1,0,1847,2461,Cazzago,12.074393,45.439095,12.073278,45.439632,12.074393,45.439095
18,146,3,2461,60.0,"{'529': 1, '525': 2, '527': 1, '644': 3, '528': 11}",1,0,1847,2461,Cazzago,12.074393,45.439095,12.074986,45.443222,12.074393,45.439095
38,2457,3,2462,36.31578947368421,"{'535': 2, '547': 13, '537': 2, '534': 10, '533': 2, '531': 1, '548': 1, '546': 1, '651': 5, '536': 1}",1,0,1848,2462,Cazzago,12.074052,45.439503,12.074752,45.43417,12.074052,45.439503
15,1083,3,2463,60.0,"{'231': 10, '228': 5}",1,0,1849,2463,Centro Anziani,12.15735,45.544022,12.157206,45.546864,12.15735,45.544022
12,2468,3,2464,70.0,"{'545': 1, '543': 1, '544': 2, '542': 8}",1,0,1850,2464,Cazzago,12.073278,45.439632,12.06351,45.440037,12.073278,45.439632
24,726,3,2465,120.0,"{'237': 21, '235': 1, '236': 2}",1,0,1851,2465,Incr. via Venezia,12.114352,45.569508,12.128498,45.568939,12.114352,45.569508
24,1648,3,2466,60.0,"{'239': 23, '238': 1}",1,0,1852,2466,Incr. via Venezia,12.115216,45.569901,12.109863,45.570213,12.115216,45.569901
1,146,3,2467,120.0,{'530': 1},1,0,1853,2467,Civico 147,12.06366,45.439899,12.074986,45.443222,12.06366,45.439899
16,2462,3,2467,60.0,"{'531': 1, '547': 13, '548': 1, '546': 1}",1,0,1853,2467,Civico 147,12.06366,45.439899,12.074052,45.439503,12.06366,45.439899
12,2469,3,2468,60.0,"{'545': 1, '543': 1, '544': 2, '542': 8}",1,0,1854,2468,Civico 147,12.06351,45.440037,12.056026,45.440174,12.06351,45.440037
12,2472,3,2469,50.0,"{'545': 1, '543': 1, '544': 2, '542': 8}",1,0,1855,2469,Civico 105,12.056026,45.440174,12.049426,45.43898,12.056026,45.440174
17,2467,3,2470,60.0,"{'531': 1, '546': 1, '547': 13, '548': 1, '530': 1}",1,0,1856,2470,Civico 105,12.055861,45.440037,12.06366,45.439899,12.055861,45.440037
17,2470,3,2471,60.0,"{'531': 1, '546': 1, '547': 13, '548': 1, '530': 1}",1,0,1857,2471,Arino Centro,12.049445,45.43885,12.055861,45.440037,12.049445,45.43885
